Genepop 4.7.5, Genotypic linkage disequilibrium

File: C:/Users/s1000334/Documents/CBC_tuts/Tutorial_4/Data/Neochetina_b_writeGenPop.txt (Neochetina_b object converted using the writeGenPop function )

Number of populations detected : 8
NBRDH6          NB5      NB8        0.971330     0.001321    63751
NBRDH6          NB43     NB8        0.391352     0.007081    25943
NBRDH6          NB40     NB26       0.680686     0.007685    39172
NBRDH6          NB46     NB26       0.388212     0.008918    28314
NBRDH6          NB27     NB26       0.001052     0.000176   132521
NBRDH6          NB5      NB26       0.685982     0.003845    91690
NBRDH6          NB43     NB26       0.571084     0.005159    40045
NBRDH6          NB8      NB26       0.167452     0.009090    21160
NBRDH6          NB40     NB13       0.088656     0.003335    79280
NBRDH6          NB46     NB13       0.739048     0.004379    57846
NBRDH6          NB27     NB13       0.075262     0.001252   215883
NBRDH6          NB5      NB13       0.625724     0.002247   165217
NBRDH6          NB43     NB13       1.000000     0.000000    77411
NBRDH6          NB8      NB13       0.584414     0.007700    48605
NBRDH6          NB26     NB13       0.215070     0.004373    76414
NBFL21          NB40     NB46       0.583134     0.005885    38750
NBFL21          NB40     NB27       0.280342     0.002711   154317
NBFL21          NB46     NB27       0.487962     0.003347    90599
NBFL21          NB40     NB5        0.423832     0.004166    55990
NBFL21          NB46     NB5        0.088408     0.002981    24335
NBFL21          NB27     NB5        0.744948     0.001977   116798
NBFL21          NB40     NB43       0.102128     0.001864    62401
NBFL21          NB46     NB43       1.000000     0.000000    27194
NBFL21          NB27     NB43       1.000000     0.000000   129223
NBFL21          NB5      NB43       0.577874     0.003793    38093
NBFL21          NB40     NB8        0.608220     0.008483    38677
NBFL21          NB46     NB8        0.977400     0.002539    16776
NBFL21          NB27     NB8        0.956968     0.001417    89654
NBFL21          NB5      NB8        0.946010     0.002432    26836
NBFL21          NB43     NB8        0.883882     0.004217    31397
NBFL21          NB40     NB26       0.415058     0.004718    82325
NBFL21          NB46     NB26       1.000000     0.000000    38286
NBFL21          NB27     NB26       0.005730     0.000370   161857
NBFL21          NB5      NB26       0.835086     0.002972    56920
NBFL21          NB43     NB26       0.772542     0.002721    65341
NBFL21          NB8      NB26       0.788556     0.006482    34452
NBFL21          NB40     NB13       0.653416     0.004550    57913
NBFL21          NB46     NB13       0.064922     0.003102    24943
NBFL21          NB27     NB13       0.378142     0.003289   119462
NBFL21          NB5      NB13       0.117660     0.004458    38351
NBFL21          NB43     NB13       0.020048     0.001041    42230
NBFL21          NB8      NB13       0.963804     0.003097    24658
NBFL21          NB26     NB13       0.202278     0.004901    56343
NBTX25          NB40     NB46       No contingency table
NBTX25          NB40     NB27       No contingency table
NBTX25          NB46     NB27       0.020684     0.000747   180209
NBTX25          NB40     NB5        No contingency table
NBTX25          NB46     NB5        0.886620     0.001364   124359
NBTX25          NB27     NB5        0.850188     0.001090   225850
NBTX25          NB40     NB43       No contingency table
NBTX25          NB46     NB43       0.537530     0.003752    74509
NBTX25          NB27     NB43       0.698490     0.001824   157882
NBTX25          NB5      NB43       0.806790     0.001645    97099
NBTX25          NB40     NB8        No contingency table
NBTX25          NB46     NB8        0.040418     0.002207    51927
NBTX25          NB27     NB8        0.022048     0.001196   112703
NBTX25          NB5      NB8        0.775820     0.003486    69325
NBTX25          NB43     NB8        0.876832     0.003649    40419
NBTX25          NB40     NB26       No contingency table
NBTX25          NB46     NB26       0.042720     0.001733    78435
NBTX25          NB27     NB26       0.000000     0.000000   158144
NBTX25          NB5      NB26       0.915958     0.001709   102567
NBTX25          NB43     NB26       0.728424     0.003622    60423
NBTX25          NB8      NB26       0.375916     0.010046    37747
NBTX25          NB40     NB13       No contingency table
NBTX25          NB46     NB13       0.997954     0.000251    71214
NBTX25          NB27     NB13       0.907362     0.001610   144399
NBTX25          NB5      NB13       0.763082     0.003424    92234
NBTX25          NB43     NB13       0.046360     0.001619    54976
NBTX25          NB8      NB13       0.940436     0.003229    35338
NBTX25          NB26     NB13       0.699040     0.005899    56455
NBSAB15         NB40     NB46       0.793338     0.002403    60838
NBSAB15         NB40     NB27       0.698008     0.002731    80653
NBSAB15         NB46     NB27       1.000000     0.000000    94003
NBSAB15         NB40     NB5        0.194470     0.002731    61092
NBSAB15         NB46     NB5        1.000000     0.000000    68046
NBSAB15         NB27     NB5        1.000000     0.000000    94604
NBSAB15         NB40     NB43       1.000000     0.000000   175431
NBSAB15         NB46     NB43       1.000000     0.000000   182874
NBSAB15         NB27     NB43       1.000000     0.000000   183201
NBSAB15         NB5      NB43       0.401224     0.001248   182813
NBSAB15         NB40     NB8        0.198856     0.004198    41786
NBSAB15         NB46     NB8        0.399632     0.003492    56768
NBSAB15         NB27     NB8        1.000000     0.000000    70790
NBSAB15         NB5      NB8        0.398090     0.004150    56583
NBSAB15         NB43     NB8        0.400530     0.001868   149623
NBSAB15         NB40     NB26       1.000000     0.000000    50273
NBSAB15         NB46     NB26       0.795520     0.001952    60980
NBSAB15         NB27     NB26       0.704062     0.002671    80292
NBSAB15         NB5      NB26       1.000000     0.000000    61385
NBSAB15         NB43     NB26       1.000000     0.000000   175189
NBSAB15         NB8      NB26       1.000000     0.000000    41677
NBSAB15         NB40     NB13       1.000000     0.000000    50174
NBSAB15         NB46     NB13       0.797592     0.002597    61488
NBSAB15         NB27     NB13       0.701902     0.002704    80457
NBSAB15         NB5      NB13       0.803654     0.002313    61667
NBSAB15         NB43     NB13       1.000000     0.000000   175020
NBSAB15         NB8      NB13       1.000000     0.000000    41695
NBSAB15         NB26     NB13       0.491184     0.004661    49992
NBSAC20         NB40     NB46       0.954674     0.002764    26906
NBSAC20         NB40     NB27       0.975018     0.000912   109835
NBSAC20         NB46     NB27       0.756132     0.002734   106313
NBSAC20         NB40     NB5        0.782586     0.007752    23693
NBSAC20         NB46     NB5        0.751046     0.008311    23714
NBSAC20         NB27     NB5        0.059090     0.001973    99334
NBSAC20         NB40     NB43       0.938690     0.001169   125227
NBSAC20         NB46     NB43       0.765716     0.002365   122100
NBSAC20         NB27     NB43       0.773094     0.000870   256181
NBSAC20         NB5      NB43       0.036400     0.001016   115020
NBSAC20         NB40     NB8        0.607450     0.014913    12564
NBSAC20         NB46     NB8        0.448774     0.015022    13618
NBSAC20         NB27     NB8        0.715900     0.004887    71717
NBSAC20         NB5      NB8        0.249786     0.015535    11607
NBSAC20         NB43     NB8        0.734350     0.003940    98878
NBSAC20         NB40     NB26       0.977770     0.001345    49899
NBSAC20         NB46     NB26       0.277962     0.006058    47672
NBSAC20         NB27     NB26       0.208542     0.002248   149313
NBSAC20         NB5      NB26       0.033448     0.002172    44736
NBSAC20         NB43     NB26       1.000000     0.000000   155510
NBSAC20         NB8      NB26       0.111020     0.005504    30858
NBSAC20         NB40     NB13       0.751130     0.002156   171184
NBSAC20         NB46     NB13       0.923784     0.000967   169916
NBSAC20         NB27     NB13       1.000000     0.000000   287435
NBSAC20         NB5      NB13       0.040908     0.001144   162913
NBSAC20         NB43     NB13       1.000000     0.000000   293879
NBSAC20         NB8      NB13       0.207376     0.002531   143329
NBSAC20         NB26     NB13       0.552376     0.001571   207684
NBUG34          NB40     NB46       0.764292     0.004980    47261
NBUG34          NB40     NB27       0.751298     0.003059   100721
NBUG34          NB46     NB27       0.327244     0.003508    91814
NBUG34          NB40     NB5        0.619868     0.006232    53814
NBUG34          NB46     NB5        0.119452     0.003614    46878
NBUG34          NB27     NB5        0.078932     0.002072    99786
NBUG34          NB40     NB43       No contingency table
NBUG34          NB46     NB43       No contingency table
NBUG34          NB27     NB43       No contingency table
NBUG34          NB5      NB43       No contingency table
NBUG34          NB40     NB8        0.085738     0.004482    39574
NBUG34          NB46     NB8        0.231040     0.006748    35100
NBUG34          NB27     NB8        0.591524     0.004651    77770
NBUG34          NB5      NB8        0.087990     0.004104    39733
NBUG34          NB43     NB8        No contingency table
NBUG34          NB40     NB26       0.673850     0.007100    49271
NBUG34          NB46     NB26       0.105316     0.004179    44142
NBUG34          NB27     NB26       0.006200     0.000493    97218
NBUG34          NB5      NB26       0.314350     0.005838    50051
NBUG34          NB43     NB26       No contingency table
NBUG34          NB8      NB26       0.415810     0.009083    35724
NBUG34          NB40     NB13       0.759334     0.003280    84482
NBUG34          NB46     NB13       0.045904     0.002039    76868
NBUG34          NB27     NB13       0.291984     0.002567   158721
NBUG34          NB5      NB13       0.077954     0.002372    84872
NBUG34          NB43     NB13       No contingency table
NBUG34          NB8      NB13       0.093436     0.003234    63752
NBUG34          NB26     NB13       0.401800     0.005157    80728
NBUR30          NB40     NB46       0.471406     0.016721    14399
NBUR30          NB40     NB27       0.118388     0.005642    44305
NBUR30          NB46     NB27       0.577098     0.004094    54965
NBUR30          NB40     NB5        0.810658     0.020619     7287
NBUR30          NB46     NB5        0.531176     0.016470    13024
NBUR30          NB27     NB5        0.795456     0.005251    41687
NBUR30          NB40     NB43       0.291866     0.012395    18209
NBUR30          NB46     NB43       0.717654     0.006919    22942
NBUR30          NB27     NB43       1.000000     0.000000    60009
NBUR30          NB5      NB43       0.728732     0.011645    16439
NBUR30          NB40     NB8        0.913102     0.011677     6543
NBUR30          NB46     NB8        0.344106     0.011779    13381
NBUR30          NB27     NB8        0.934180     0.002862    45029
NBUR30          NB5      NB8        0.819912     0.016756     5945
NBUR30          NB43     NB8        0.643546     0.010181    18025
NBUR30          NB40     NB26       0.376922     0.017648    14140
NBUR30          NB46     NB26       0.671378     0.010080    20506
NBUR30          NB27     NB26       0.000114     0.000049    56539
NBUR30          NB5      NB26       0.910442     0.009291    13003
NBUR30          NB43     NB26       1.000000     0.000000    24198
NBUR30          NB8      NB26       0.976642     0.003118    13204
NBUR30          NB40     NB13       0.095664     0.009454    14101
NBUR30          NB46     NB13       0.387432     0.011129    21943
NBUR30          NB27     NB13       0.149590     0.003810    61285
NBUR30          NB5      NB13       0.959356     0.005130    12725
NBUR30          NB43     NB13       0.500782     0.007474    26169
NBUR30          NB8      NB13       0.070160     0.007083    12502
NBUR30          NB26     NB13       0.508864     0.011021    22924

P-value for each locus pair across all populations
(Fisher's method)
-----------------------------------------------------
Locus pair                    Chi2      df   P-Value
--------------------          --------  ---  --------
NB40          & NB46          13.051376 14   0.522482
NB40          & NB27          12.309157 14   0.581490
NB46          & NB27          13.374771 16   0.645184
NB40          & NB5           11.454616 14   0.650011
NB46          & NB5           16.307718 16   0.431698
NB27          & NB5           15.131549 16   0.515026
NB40          & NB43          11.591139 12   0.479049
NB46          & NB43          4.485781  14   0.991762
NB27          & NB43          6.118715  14   0.963410
NB5           & NB43          12.504878 14   0.565825
NB40          & NB8           13.906328 14   0.456713
NB46          & NB8           16.739057 16   0.402674
NB27          & NB8           10.347091 16   0.847885
NB5           & NB8           13.158839 16   0.661110
NB43          & NB8           7.418917  14   0.917355
NB40          & NB26          7.582842  14   0.909908
NB46          & NB26          16.873998 16   0.393796
NB27          & NB26          >91.29302216   <1.44e-12
NB5           & NB26          16.951326 16   0.388754
NB43          & NB26          5.603395  14   0.975520
NB8           & NB26          17.046025 16   0.382625
NB40          & NB13          16.575757 14   0.279491
NB46          & NB13          15.634588 16   0.478742
NB27          & NB13          15.556499 16   0.484318
NB5           & NB13          21.264755 16   0.168557
NB43          & NB13          15.345057 14   0.354981
NB8           & NB13          15.443455 16   0.492430
NB26          & NB13          13.216666 16   0.656855

Normal ending.
